RuleID,Detection,Category,Technique,Confidence,KeywordRegex,PathRegex,IgnoreRegex,Reference,Criticality,Scope,EntryType,Source,SourceID
DR-MFT-RMM-217,RMM - Product Directory,Remote Access Software,,High,^(Meraki Systems Manager Agent|TrendMicro BaseCamp|AB Tutor|Datto|SolarWinds RMM|Naverisk)$,.,,General RMM product directory basenames,Medium,MFT,Directory,DetectRaptor Curated,
DR-MFT-RMM-003,RMM - Access Remote PC,Remote Access Software,,Unreviewed,^(rpcsetup|rpcgrab)\.exe$,.,,Retained curated filename coverage; Access Remote PC - https://lolrmm.io/tools/access_remote_pc,Medium,Both,File,DetectRaptor Curated,access_remote_pc
DR-MFT-RMM-005,RMM - Action1,Remote Access Software,,Unreviewed,^(action1_update|action1_connector|action1_remote|action1_agent)\.exe$,.,,Retained curated filename coverage; Action1 - action1.com - https://lolrmm.io/tools/action1,Medium,Both,File,DetectRaptor Curated,action1
DR-MFT-RMM-012,RMM - AnyDesk,Remote Access Software,,Unreviewed,^(anydesk|anydesk.*)\.exe$,.,,Retained curated filename coverage; AnyDesk - anydesk.com - https://lolrmm.io/tools/anydesk,Medium,Both,File,DetectRaptor Curated,anydesk
DR-MFT-RMM-014,RMM - AnyViewer,Remote Access Software,,Unreviewed,^(AnyViewerSetup|RCClient|RCService)\.exe$,.,,Retained curated filename coverage; AnyViewer - https://www.anyviewer.com/ - https://lolrmm.io/tools/anyviewer,Medium,Both,File,DetectRaptor Curated,anyviewer
DR-MFT-RMM-060,RMM - GatherPlace-desktop sharing,Remote Access Software,,Unreviewed,^(gp3|gp4|gp5)\.exe$,.,,Retained curated filename coverage; GatherPlace-desktop sharing - gatherplace.com - https://lolrmm.io/tools/gatherplace-desktop_sharing,Medium,Both,File,DetectRaptor Curated,gatherplace-desktop_sharing
DR-MFT-RMM-085,RMM - Kaseya (aka Unigma),Remote Access Software,,Unreviewed,^(agentmon|KaUpdHlp|KaUsrTsk)\.exe$,.,,Retained curated filename coverage; Kaseya (aka Unigma) - kaseya.com - https://lolrmm.io/tools/kaseya__vsa_,Medium,Both,File,DetectRaptor Curated,kaseya__vsa_
DR-MFT-RMM-091,RMM - Level,Remote Access Software,,Unreviewed,^(level-windows-amd64|level|level-remote-control-ffmpeg)\.exe$,.,,Retained curated filename coverage; Level - level.io - https://lolrmm.io/tools/level,Medium,Both,File,DetectRaptor Curated,level
DR-MFT-RMM-157,RMM - Royal Server,Remote Access Software,,Unreviewed,^RoyalServerInstaller_.*\.msi$,.,,Retained curated filename coverage; Royal Server - royalapps.com - https://lolrmm.io/tools/royal_server,Medium,Both,File,DetectRaptor Curated,royal_server
DR-MFT-RMM-098,RMM - Microsoft Quick Assist Execution,Remote Access Software,T1219.002,High,^quickassist\.exe$,.,,Microsoft Quick Assist execution evidence,Medium,Amcache,File,DetectRaptor Curated,microsoft_quick_assist
DR-MFT-RMM-142,RMM - RealVNC Installer,Remote Access Software,,High,^VNC-Connect-Installer-.*\.exe$,.,,RealVNC installer filename,Medium,Both,File,DetectRaptor Curated,
DR-MFT-RMM-218,RMM - Komari,Remote Access Software,,Medium,^(komari|komari-agent|komari-agent-(windows|linux|darwin|freebsd)-(amd64|arm64|386|arm)|komari-(windows|linux|darwin|freebsd)-(amd64|arm64|386|arm))(\.exe)?$,.,,Komari server or agent filename indicator,Medium,Both,File,DetectRaptor Curated,komari
DR-MFT-RMM-287,RMM - Monitic,Remote Access Software,T1219,High,^amon\.exe$,.,,Monitic product-specific binary; https://lolrmm.io/tools/monitic,Medium,Both,File,DetectRaptor Curated,monitic
DR-MFT-RMM-350,RMM - Monitic Agent in Product Path,Remote Access Software,T1219,High,^agent\.exe$,\\Program Files\\Monitic\\agent\.exe$,,Generic Monitic agent basename restricted to the upstream product path,Medium,Both,File,DetectRaptor Curated,
DR-MFT-RMM-292,RMM - Net Monitor for Employees,Remote Access Software,T1219,High,^nmep_(agtconfig|ctrlagent|ctrlagentsvc)\.exe$,.,,Net Monitor for Employees product-specific binaries; https://lolrmm.io/tools/net_monitor_for_employees,Medium,Both,File,DetectRaptor Curated,net_monitor_for_employees
DR-MFT-RMM-351,RMM - Net Monitor for Employees WinPTY in Product Path,Remote Access Software,T1219,High,^winpty-agent(64)?\.exe$,\\Program Files( \(x86\))?\\Net Monitor for Employees Pro\\.*winpty-agent(64)?\.exe$,,Generic WinPTY helper restricted to the upstream Net Monitor for Employees product path,Medium,Both,File,DetectRaptor Curated,
DR-MFT-RMM-324,RMM - RemSupp,Remote Access Software,T1219,High,^(RemSupp|Uninstall RemSupp)\.exe$,.,,RemSupp product-specific binaries; https://lolrmm.io/tools/remsupp,Medium,Both,File,DetectRaptor Curated,remsupp
DR-MFT-RMM-352,RMM - RemSupp Updater Installer in Product Path,Remote Access Software,T1219,High,^installer\.exe$,\\Users\\[^\\]+\\AppData\\Local\\remsupp-updater\\installer\.exe$,,Generic updater installer basename restricted to the upstream RemSupp product path,Medium,Both,File,DetectRaptor Curated,
